,25.05.2000,29.08.2000,23.11.2000,22.02.2001,25.05.2001,30.08.2001,10.12.2001,25.02.2002,27.05.2002,29.08.2002,28.11.2002,27.02.2003,05.06.2003,04.09.2003,27.11.2003,05.03.2004,27.05.2004,10.09.2004,26.11.2004,03.03.2005,02.06.2005,09.09.2005,01.12.2005,02.03.2006,01.06.2006,07.09.2006,01.12.2006,06.03.2007,31.05.2007,04.09.2007,30.11.2007,04.03.2008,02.06.2008,02.09.2008,04.12.2008,03.03.2009,02.06.2009,01.09.2009,01.12.2009,02.03.2010,01.06.2010,02.09.2010,02.12.2010,01.03.2011,31.05.2011,01.09.2011,01.12.2011,01.03.2012,30.05.2012,04.09.2012,29.11.2012,28.02.2013,30.05.2013,03.09.2013,28.11.2013,27.02.2014,28.05.2014,30.09.2014,03.12.2014,03.03.2015,29.05.2015,28.08.2015,01.12.2015,02.03.2016,01.06.2016,06.09.2016,02.12.2016,02.03.2017,01.06.2017,05.09.2017,30.11.2017,01.03.2018,31.05.2018,06.09.2018,29.11.2018,28.02.2019,28.05.2019,05.09.2019,28.11.2019,03.03.2020,03.06.2020,28.09.2020,01.12.2020,26.02.2021,01.06.2021,02.09.2021,26.11.2021,28.02.2022,31.05.2022,05.09.2022,29.11.2022,28.02.2023,30.05.2023,04.09.2023,01.12.2023,29.02.2024,30.05.2024,03.09.2024,29.11.2024,27.02.2025,02.06.2025,29.09.2025,28.11.2025,27.02.2026
time,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4,2023q1,2023q2,2023q3,2023q4,2024q1,2024q2,2024q3,2024q4,2025q1,2025q2,2025q3,2025q4,2026q1
1980-01-01,64551.2542373759,64551.2542870475,64551.2542871045,64551.25428711,64551.2542872004,64551.2542980531,64551.2543007787,64551.2543007778,64551.2543007778,64551.2543042082,64551.2543043118,64551.2543043136,64555.8557807139,64551.2543039768,64551.2543039772,,75004.3541360134,75066.4724458621,75066,75066,,,75066.4724458621,,,,,,,,,75685.2272047784,75685.2272047784,75592.3599513719,75592.3599513719,75481.4904686072,75462.8766962939,75262.9570696188,75265.8846467468,75269.3378117699,75279.0809638635,75255.1046033919,75271.9370306448,75270.6562934216,75270.1614688315,75306.0276725865,75361.7453858356,75367.2170065484,75371.1970131792,79948.826514127,79948.826514127,79948.826514127,79948.826514127,79948.826514127,79948.826514127,79948.826514127,79948.826514127,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89221.3034937068,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,89780.2917677033,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90471.8938848946,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,90356.0530725644,91188.4429261887,91191.243786267,91191.1512883329
1980-04-01,64752.1710777701,64752.1709835646,64752.170983647,64752.1709837,64752.170983575,64752.1709544353,64752.1709597072,64752.1709597141,64752.1709597137,64752.1709512633,64752.1709510888,64752.1709510713,64751.7770098694,64752.1709518236,64752.1709518243,,75264.8837951384,75396.0089606423,75396,75396,,,75396.0089606423,,,,,,,,,76129.4372263408,76129.4372263408,76073.1811621317,76073.1811621317,75920.5897906774,75925.0700516769,75902.9332470599,75902.9336925443,75904.2957557242,75895.7316443425,75905.8572826403,75895.2800870713,75902.6049365627,75901.5228288765,75957.5853088955,75956.9207005196,75957.4349838403,75951.118720965,80596.1386024689,80596.1386024689,80596.1386024689,80596.1386024689,80596.1386024689,80596.1386024689,80596.1386024689,80596.1386024689,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,89501.0728979003,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90041.5923452056,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90796.4433701083,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,90496.4926219778,91651.1679717911,91653.983044505,91653.890077201
1980-07-01,64803.5119715894,64803.5119587299,64803.5119586892,64803.51195862,64803.5119588333,64803.5119543137,64803.5119493217,64803.5119493163,64803.5119493168,64803.5119476785,64803.5119478972,64803.511947913,64801.2618566397,64803.5119481661,64803.5119481648,,75339.6697886018,75235.8763865891,75236,75236,,,75235.8763865891,,,,,,,,,76474.2786955012,76474.2786955012,76324.0815638872,76324.0815638872,76358.6851998228,76355.0324670678,76472.3544747399,76473.982357957,76471.0842344986,76462.9386606295,76464.2678752005,76457.4022031437,76460.2041527481,76459.6356113629,76344.9142474897,76374.0381392537,76371.9028215064,76372.6471285382,81058.9425453823,81058.9425453823,81058.9425453823,81058.9425453823,81058.9425453823,81058.9425453823,81058.9425453823,81058.9425453823,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,89972.489137864,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,90640.9949742035,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,91213.7788090829,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,90957.6309015049,92098.666140872,92101.4949585268,92101.4015372984
1980-10-01,64891.5337801716,64891.5338120425,64891.5338118108,64891.53381175,64891.5338115811,64891.5338330208,64891.5338223105,64891.533822306,64891.5338223064,64891.5338281084,64891.5338279503,64891.533827961,64889.9115349651,64891.5338274272,64891.5338274261,,75458.7326206565,75300.2121229441,75300,75300,,,75300.2121229441,,,,,,,,,76453.0909105634,76453.0909105634,76744.0365252673,76744.0365252673,76972.3415490574,76990.1277931261,77094.8622167462,77090.3063109163,77088.3892061719,77095.3557393292,77107.8772469319,77108.4876873047,77099.6416254322,77101.7870990936,77124.5797791928,77040.4027825558,77036.5521962696,77038.1441454822,81771.9334849547,81771.9334849547,81771.9334849547,81771.9334849547,81771.9334849547,81771.9334849547,81771.9334849547,81771.9334849547,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,90778.8553037508,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91041.3758180882,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91776.4937628067,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,91483.5305905696,92636.277549218,92639.1228796488,92639.0289130887
1981-01-01,65177.0024365037,65177.0025472584,65177.0025475825,65177.0025477,65177.0025478148,65177.002564077,65177.0025821991,65177.0025822056,65177.0025822048,65177.0025881523,65177.0025882953,65177.002588277,65177.7324322855,65177.0025875952,65177.0025875982,,75801.5236779363,75855.0302792501,75855,75716,75631.6400358,75631.6435781,75702.8193234,76019.6877601004,76019.6877600973,76019.6877603165,76019.6877603161,76019.6877603162,76019.6877603163,77077.8719483742,77173.957595189,76966.9460385277,76966.9460385277,77226.5973123093,77226.5973123093,77281.8012420333,77279.4773335072,77339.4157764638,77340.8004563312,77341.1690780854,77345.5748355022,77350.0034760725,77357.3974222897,77350.7937983588,77351.1431004457,77276.5803856279,77319.2795682477,77321.8632130235,77323.9229450779,82061.5446094356,82061.5446094356,82061.5446094356,82061.5446094356,82061.5446094356,82061.5446094356,82061.5446094356,82061.5446094356,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,89551.1136802523,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91255.566984844,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91677.5902180534,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,91447.508330111,92654.9317519963,92657.7776553924,92657.6836699102
1981-04-01,65632.9053871345,65632.9052877264,65632.9052878667,65632.90528796,65632.9052877608,65632.9052555039,65632.9052648825,65632.905264893,65632.9052648922,65632.905255741,65632.9052554851,65632.9052554579,65634.131440308,65632.90525623,65632.9052562314,,76393.9719418103,76546.6154455905,76547,76305,76308.3525685,76308.3180356,76383.2891554,76713.8580554338,76713.8580554359,76713.8580552865,76713.8580552868,76713.8580552867,76713.8580552867,77779.1699579536,77734.41909375,77611.416309633,77611.416309633,77833.3916855569,77833.3916855569,77606.5314668763,77605.8765987297,77644.3596632649,77647.264653402,77647.4792444886,77641.1172450291,77620.4429102468,77619.0537786335,77628.2616152846,77626.3380154817,77713.5234183822,77682.8406049089,77684.3346746888,77680.1439689675,82435.3141900028,82435.3141900028,82435.3141900028,82435.3141900028,82435.3141900028,82435.3141900028,82435.3141900028,82435.3141900028,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91339.4635415329,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,91902.9407680637,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92629.3434162666,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,92492.7363089111,93536.4287202703,93539.3016989139,93539.2068192762
1981-07-01,66126.9820978193,66126.982030108,66126.9820297155,66126.98202946,66126.9820298527,66126.9820230542,66126.9819954005,66126.9819953803,66126.9819953822,66126.981991767,66126.981992173,66126.9819922294,66126.5343036623,66126.9819928769,66126.9819928712,,77055.9324861109,76936.7369256796,76937,76969,77093.7234898,77093.7056058,77139.3303857,77113.0856518222,77113.0856517936,77113.0856538194,77113.0856538156,77113.0856538173,77113.0856538175,78182.4624803821,78096.061984582,77705.3404738605,77705.3404738605,77677.7335910063,77677.7335910063,77548.8265817429,77555.8934287712,77537.903780276,77534.6883936026,77535.1568283593,77538.4766477566,77575.0256183828,77570.6275569027,77575.4586488311,77574.6877732276,77693.5940971709,77662.0138643013,77658.7036602583,77657.6828135998,82407.8829306792,82407.8829306792,82407.8829306792,82407.8829306792,82407.8829306792,82407.8829306792,82407.8829306792,82407.8829306792,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92046.3584669655,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,92162.7404692426,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,93108.7615276658,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,92813.9754051703,93817.585508551,93820.4671229471,93820.3719581152
1981-10-01,66133.869105311,66133.8690980607,66133.8690975915,66133.86909749,66133.8690970704,66133.8691187286,66133.8690971753,66133.8690971692,66133.86909717,66133.8691022965,66133.8691018685,66133.8691018823,66132.5543205919,66133.869101467,66133.8691014646,,77118.0956206656,76956.7446881077,76957,77034,76979.7850949,76979.8018135,77047.3636418,76481.5887891246,76481.5887891526,76481.5887872169,76481.5887872206,76481.5887872189,76481.5887872187,77542.5092740754,77582.7107234093,77329.342059311,77329.342059311,76876.80278896,76876.80278896,77175.7482676404,77171.6601972847,77091.2283382883,77090.1540549565,77089.1024073594,77087.7388300049,77067.4355535907,77065.8288004665,77058.3934958181,77060.7386691377,76929.2096571117,76948.773520835,76948.0060103223,76951.1578306476,81649.4327558464,81649.4327558464,81649.4327558464,81649.4327558464,81649.4327558464,81649.4327558464,81649.4327558464,81649.4327558464,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,92146.9137187968,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,91974.0481167952,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92702.2812456094,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,92465.7561104301,93671.750022036,93674.6271570839,93674.5321401817
1982-01-01,65683.3724076566,65683.3727004505,65683.3727016289,65683.37270223,65683.3727018565,65683.3727340466,65683.372808168,65683.3728082117,65683.3728082075,65683.372821933,65683.3728215852,65683.3728214638,65680.5791738983,65683.3728196018,65683.3728196158,,76615.0632759876,76656.9140493171,76657,76529,76480.8581456,76480.8575072,76550.4661427,75969.659458961,75969.6594589592,75969.6594589823,75969.6594589821,75969.6594589822,75969.6594589824,77021.912541748,77081.8302069974,76702.1933654436,76702.1933654436,76426.591578285,76426.5915782849,76562.2271419706,76560.0734045246,76579.9582228475,76583.9624002007,76581.5004819454,76588.468920687,76590.564593668,76598.8947495564,76606.3357239787,76606.9471353352,76468.2061054894,76449.719596414,76451.7256243289,76454.1456391242,81124.8206321742,81124.8206321742,81124.8206321742,81124.8206321742,81124.8206321742,81124.8206321742,81124.8206321742,81124.8206321742,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91888.6023913203,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,91693.7907573999,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,92012.1198990219,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,91825.6828183354,92865.6742795121,92868.5266558812,92868.4324566302
