"stage","series","frequency","date","time_index","value"
"transformed","SWGBOND.",12,1997-02-01,1997.08333333333,-1.2075
"transformed","SWGBOND.",12,1997-03-01,1997.16666666667,-0.855833333333333
"transformed","SWGBOND.",12,1997-04-01,1997.25,-0.9
"transformed","SWGBOND.",12,1997-05-01,1997.33333333333,-1.03944444444444
"transformed","SWGBOND.",12,1997-06-01,1997.41666666667,-1.05916666666667
"transformed","SWGBOND.",12,1997-07-01,1997.5,-0.9425
"transformed","SWGBOND.",12,1997-08-01,1997.58333333333,-0.7925
"transformed","SWGBOND.",12,1997-09-01,1997.66666666667,-0.728611111111111
"transformed","SWGBOND.",12,1997-10-01,1997.75,-0.656666666666667
"transformed","SWGBOND.",12,1997-11-01,1997.83333333333,-0.64
"transformed","SWGBOND.",12,1997-12-01,1997.91666666667,-0.828611111111111
"transformed","SWGBOND.",12,1998-01-01,1998,-1.13638888888889
"transformed","SWGBOND.",12,1998-02-01,1998.08333333333,-1.19055555555556
"transformed","SWGBOND.",12,1998-03-01,1998.16666666667,-0.983055555555555
"transformed","SWGBOND.",12,1998-04-01,1998.25,-0.706111111111111
"transformed","SWGBOND.",12,1998-05-01,1998.33333333333,-0.819166666666666
"transformed","SWGBOND.",12,1998-06-01,1998.41666666667,-0.643888888888889
"transformed","SWGBOND.",12,1998-07-01,1998.5,-0.7175
"transformed","SWGBOND.",12,1998-08-01,1998.58333333333,-0.869166666666667
"transformed","SWGBOND.",12,1998-09-01,1998.66666666667,-0.728333333333333
"transformed","SWGBOND.",12,1998-10-01,1998.75,-0.8675
"transformed","SWGBOND.",12,1998-11-01,1998.83333333333,-1.07861111111111
"transformed","SWGBOND.",12,1998-12-01,1998.91666666667,-0.990277777777778
"transformed","SWGBOND.",12,1999-01-01,1999,-1.08805555555556
"transformed","SWGBOND.",12,1999-02-01,1999.08333333333,-1.04777777777778
"transformed","SWGBOND.",12,1999-03-01,1999.16666666667,-0.9475
"transformed","SWGBOND.",12,1999-04-01,1999.25,-0.9675
"transformed","SWGBOND.",12,1999-05-01,1999.33333333333,-0.723055555555555
"transformed","SWGBOND.",12,1999-06-01,1999.41666666667,-0.456111111111111
"transformed","SWGBOND.",12,1999-07-01,1999.5,-0.313888888888889
"transformed","SWGBOND.",12,1999-08-01,1999.58333333333,-0.147777777777778
"transformed","SWGBOND.",12,1999-09-01,1999.66666666667,0.135277777777778
"transformed","SWGBOND.",12,1999-10-01,1999.75,0.350277777777778
"transformed","SWGBOND.",12,1999-11-01,1999.83333333333,0.424166666666667
"transformed","SWGBOND.",12,1999-12-01,1999.91666666667,0.368333333333333
"transformed","SWGBOND.",12,2000-01-01,2000,0.533333333333333
"transformed","SWGBOND.",12,2000-02-01,2000.08333333333,0.613611111111111
"transformed","SWGBOND.",12,2000-03-01,2000.16666666667,0.895
"transformed","SWGBOND.",12,2000-04-01,2000.25,0.806388888888889
"transformed","SWGBOND.",12,2000-05-01,2000.33333333333,0.899722222222223
"transformed","SWGBOND.",12,2000-06-01,2000.41666666667,0.706111111111111
"transformed","SWGBOND.",12,2000-07-01,2000.5,0.665277777777778
"transformed","SWGBOND.",12,2000-08-01,2000.58333333333,0.521111111111111
"transformed","SWGBOND.",12,2000-09-01,2000.66666666667,0.624166666666667
"transformed","SWGBOND.",12,2000-10-01,2000.75,0.598333333333334
"transformed","SWGBOND.",12,2000-11-01,2000.83333333333,0.436111111111111
"transformed","SWGBOND.",12,2000-12-01,2000.91666666667,0.213333333333333
"transformed","SWGBOND.",12,2001-01-01,2001,0.151666666666667
"transformed","SWGBOND.",12,2001-02-01,2001.08333333333,0.126944444444445
"transformed","SWGBOND.",12,2001-03-01,2001.16666666667,-0.0391666666666666
"transformed","SWGBOND.",12,2001-04-01,2001.25,0.155555555555555
"transformed","SWGBOND.",12,2001-05-01,2001.33333333333,0.175
"transformed","SWGBOND.",12,2001-06-01,2001.41666666667,-0.0069444444444442
"transformed","SWGBOND.",12,2001-07-01,2001.5,-0.0316666666666667
"transformed","SWGBOND.",12,2001-08-01,2001.58333333333,-0.0808333333333331
"transformed","SWGBOND.",12,2001-09-01,2001.66666666667,-0.106666666666667
"transformed","SWGBOND.",12,2001-10-01,2001.75,-0.399444444444445
"transformed","SWGBOND.",12,2001-11-01,2001.83333333333,-0.166111111111111
"transformed","SWGBOND.",12,2001-12-01,2001.91666666667,0.110277777777778
"transformed","SWGBOND.",12,2002-01-01,2002,0.111666666666666
"transformed","SWGBOND.",12,2002-02-01,2002.08333333333,0.102222222222222
"transformed","SWGBOND.",12,2002-03-01,2002.16666666667,0.103333333333333
"transformed","SWGBOND.",12,2002-04-01,2002.25,-0.0344444444444445
"transformed","SWGBOND.",12,2002-05-01,2002.33333333333,-0.115277777777778
"transformed","SWGBOND.",12,2002-06-01,2002.41666666667,-0.295277777777778
"transformed","SWGBOND.",12,2002-07-01,2002.5,-0.351111111111111
"transformed","SWGBOND.",12,2002-08-01,2002.58333333333,-0.411666666666667
"transformed","SWGBOND.",12,2002-09-01,2002.66666666667,-0.823055555555556
"transformed","SWGBOND.",12,2002-10-01,2002.75,-0.701666666666667
"transformed","SWGBOND.",12,2002-11-01,2002.83333333333,-0.736944444444445
