"date","out.ch","out_incl_losses.ch","in.ch"
2009-04-18,127564777.825,140075461.242,163487652.542
2009-04-19,117404248.145,130752733.2575,156656771.95
2009-04-20,146895490.625,159647796.1895,181054174.699
2009-04-21,151126886.754,162484452.532,179208700.483
2009-04-22,149828534.971,161445383.921,176869537.608
2009-04-23,150069661.212,162895517.66075,182818795.285
2009-04-24,150030231.402,161526453.707,188408718.244
2009-04-25,125425568.261,137881036.714,165846853.914
2009-04-26,114607749.235,128634382.1455,161699370.635
2009-04-27,152451878.094,165711932.3625,199556439.622
2009-04-28,159779732.859,172355890.7795,204382381.224
2009-04-29,160221421.761,172827790.00875,206974261.533
2009-04-30,156311931.478,169808648.09675,192797135.481
2009-05-01,138156657.286,152815571.52875,160660073.98325
2009-05-02,127479686.404,139131467.8945,161499282.46025
2009-05-03,116082200.278,131293850.6,157189324.662
2009-05-04,153335694.046,167283402.137,182968234.41
2009-05-05,157262356.926,170458788.9375,182533227.434
2009-05-06,153749955.844,167329178.42075,182970949.768
2009-05-07,150595559.703,163090298.58475,188374522.983
2009-05-08,148383381.491,161687932.68675,181011509.03
2009-05-09,125381820.984,141921967.88375,176484732.518
2009-05-10,111578205.983,131824446.321,176549666.4135
2009-05-11,145983880.702,160601282.02225,203053848.69175
2009-05-12,150134286.165,164959816.3615,212004092.905
2009-05-13,149642372.105,164823830.734,212009060.509
2009-05-14,150778456.48,167613163.94975,214736925.582
2009-05-15,149951546.613,166606325.29175,218565409.08
2009-05-16,125068375.388,140546334.04525,201270451.31
2009-05-17,112416014.104,132037566.96925,192374349.179
2009-05-18,147044722.891,164693058.01,214585237.49475
2009-05-19,148193813.375,164033441.8005,216177228.813
2009-05-20,143478508.103,160533247.2,212715213.26
2009-05-21,114514616.245,134557823.069,206314295.797
2009-05-22,129206590.431,150485294.63175,211660482.936
2009-05-23,118663405.173,138186799.96625,213161547.319
2009-05-24,110516735.989,132831667.61125,210453695.022
2009-05-25,146906733.006,167387055.98625,227847552.841
2009-05-26,153137209.819,175187958.193,230766947.103
2009-05-27,147616008.506,168836855.81625,233125229.042
2009-05-28,147146534.246,166303843.56925,231523189.583
2009-05-29,143332778.528,160905553.17,224856572.911
2009-05-30,120563910.303,138239850.05675,208804753.535
2009-05-31,108176464.978,127298800.198,195650950.014
2009-06-01,112237792.532,130217596.8325,194858255.621
2009-06-02,143804497.353,158656433.7925,211695225.013
2009-06-03,146312264.644,162812418.173,206101606.499
2009-06-04,146801307.023,161554018.07225,215817338.095
2009-06-05,145587147.046,160037113.0505,215813372.104
2009-06-06,125095159.926,142157045.09425,194490704.281
2009-06-07,111700049.628,130213614.6225,183818597.826
2009-06-08,143970703.609,158820566.492,194367997.361
2009-06-09,148154770.943,163275914.28575,199045196.116
2009-06-10,146639518.332,161221189.38575,195644698.16
2009-06-11,137620052.045,152357821.5485,188186300.898
2009-06-12,138947153.076,152975969.97,191795230.999
2009-06-13,120818196.779,135061118.8325,188489532.701
2009-06-14,111379497.38,125876020.6495,179313461.044
2009-06-15,148621276.287,164790876.79325,206024739.193
2009-06-16,149342109.305,171192989.66775,213310782.36
2009-06-17,147864414.462,168950285.68,213009097.025
2009-06-18,150375680.751,168695699.924,211294357.063
2009-06-19,149857958.136,169736159.28525,211344613.525
2009-06-20,121937468.711,144038992.9335,192540209.968
2009-06-21,110978682.872,130736956.8885,180047546.226
2009-06-22,143822765.423,159256215.0495,203342125.098
2009-06-23,148525083.071,163214518.1935,200399473.085
2009-06-24,145933839.133,160858984.02975,194426399.326
2009-06-25,146131372.887,162887861.3605,192762162.842
2009-06-26,144175861.974,160203848.05325,192756034.068
2009-06-27,121818397.272,136981087.9515,196351814.784
2009-06-28,109114995.462,126309924.21475,191619861.051
2009-06-29,142915304.958,160466126.94,229522044.846
2009-06-30,147445960.701,166770194.823,238562363.398
2009-07-01,149951128.601,168106758.46725,230629780.077
2009-07-02,150404027.438,167802332.99825,228555402.519
2009-07-03,148580564.949,166757387.665,222738917.796
2009-07-04,124265698.126,141645187.9785,210286020.058
2009-07-05,112378626.386,131080165.31475,207241610.065
2009-07-06,145372291.624,164161116.2485,237177206.477
2009-07-07,147787061.308,165668496.7105,232877583.52
2009-07-08,146038984.577,163320010.91875,229333221.309
2009-07-09,145959424.061,163231514.5475,229105344.941
2009-07-10,142781642.016,160236312.60575,220702922.919
2009-07-11,120001975.153,135978242.31825,203895050.866
2009-07-12,109550725.692,130515452.31425,190032917.848
