"date","ch.ozd.e.wa.index.re.d11","ch.ozd.i.wa.index.re.d11","ch.ozd.e.total.index.re.d11","ch.ozd.i.total.index.re.d11","ch.cpa.e.real.index.sa.2012","ch.cpa.i.real.index.sa.2012"
"1997-01-01",93.2509264728507,98.7806881710096,94.6153613696147,99.7974756544683,NA,NA
"1997-02-01",95.1973518690756,99.7142109816459,96.7929719422844,97.0204643968162,NA,NA
"1997-03-01",97.9918647640189,98.176921646221,98.5109439441854,95.1834207750072,NA,NA
"1997-04-01",100.190154870135,103.445843417417,98.0840764498974,103.792632320548,NA,NA
"1997-05-01",93.9309236932924,92.8022009346313,96.9294501319574,93.0592101338329,NA,NA
"1997-06-01",101.186110821489,100.511200279524,98.6410978889414,101.032006338835,NA,NA
"1997-07-01",99.990261815843,101.655227156153,99.7401488133136,101.331944390732,NA,NA
"1997-08-01",99.3152877101636,100.919529010533,100.131530148762,101.083718826486,NA,NA
"1997-09-01",101.543275853321,101.63369343488,101.309170280465,101.967918819116,NA,NA
"1997-10-01",104.187731589714,102.188714689959,103.548466899228,103.110511342327,NA,NA
"1997-11-01",106.091728233513,99.1045945807987,105.753709814654,102.033921195276,NA,NA
"1997-12-01",107.124382306584,101.067175697227,105.943072316697,100.586775806557,NA,NA
"1998-01-01",99.8711280261332,101.179349542411,103.710934867345,102.531094013462,NA,NA
"1998-02-01",104.565940190831,102.092465187645,103.693692072401,104.894920952713,NA,NA
"1998-03-01",104.547062425456,101.591133565045,104.745257109073,105.511062794255,NA,NA
"1998-04-01",108.03402432105,108.035291263665,105.655171654161,108.580522526117,NA,NA
"1998-05-01",105.712544892157,103.866223175333,105.039920731143,108.45556761125,NA,NA
"1998-06-01",103.533225301514,104.019309021158,104.321184091785,106.48204592665,NA,NA
"1998-07-01",105.05864695748,102.195719013844,103.486746963076,102.63245580107,NA,NA
"1998-08-01",102.168975903943,102.42566192492,102.873741925637,101.389187492596,NA,NA
"1998-09-01",104.077239491291,104.836311977097,103.12899777445,103.717871721469,NA,NA
"1998-10-01",101.722870964193,101.512454180321,103.342914320959,101.120068166364,NA,NA
"1998-11-01",103.334729692294,108.504248708528,103.349749124724,107.038223893457,NA,NA
"1998-12-01",103.321207101315,103.894378056222,103.603193965162,110.318989062985,NA,NA
"1999-01-01",102.474691304724,97.541139606705,102.992190183383,96.9615560783561,NA,NA
"1999-02-01",100.61444097917,105.414725526815,103.332757621485,103.105841555813,NA,NA
"1999-03-01",106.046903461176,109.785565906225,105.027242456724,108.063113433669,NA,NA
"1999-04-01",104.134421853467,102.949500939352,105.931761713576,104.532623686758,NA,NA
"1999-05-01",103.92086709819,107.060440736936,106.895962859487,105.725884748344,NA,NA
"1999-06-01",109.223659223689,111.271045638121,108.545400518234,108.182947818546,NA,NA
"1999-07-01",106.585506192137,109.866085642495,109.412215267031,107.644071331956,NA,NA
"1999-08-01",109.57559360648,112.62045750343,111.080947833518,109.783561969683,NA,NA
"1999-09-01",112.098987657338,114.566817227739,113.120407195439,112.560341509688,NA,NA
"1999-10-01",116.131407419679,114.100022731066,115.358212379718,115.978722453993,NA,NA
"1999-11-01",116.058099800485,110.411055215429,117.283650714779,110.188188927641,NA,NA
"1999-12-01",119.472038408054,123.761856496321,118.38491863279,124.651079716671,NA,NA
"2000-01-01",115.02287701123,117.731635277869,118.172897907023,118.470458002831,NA,NA
"2000-02-01",117.167586321972,118.427057784977,118.215637281121,116.43938813137,NA,NA
"2000-03-01",114.97885925202,118.209718361829,117.957404189302,128.159616496439,NA,NA
"2000-04-01",114.054705458364,119.202092209057,120.01240845387,117.213030692352,NA,NA
"2000-05-01",126.454542979017,130.512749005482,122.962053684405,131.400186324523,NA,NA
"2000-06-01",112.631165920412,117.287984856533,122.345181556244,118.62769267234,NA,NA
"2000-07-01",119.349777678142,126.758297045841,123.623456097378,129.123105738903,NA,NA
"2000-08-01",123.867090570955,128.942519523061,126.475413337822,128.746607338795,NA,NA
"2000-09-01",127.936296669718,126.084644966971,127.912388197672,128.296119516485,NA,NA
"2000-10-01",122.606497138429,132.118862210613,127.868525789532,133.054234508521,NA,NA
"2000-11-01",124.941927024203,131.88551865646,129.099032011974,138.157570322134,NA,NA
"2000-12-01",130.614983335582,134.843859852547,130.831611073824,135.120307805278,NA,NA
"2001-01-01",125.988952572287,128.146358063531,130.315036853371,126.516366789024,NA,NA
"2001-02-01",129.806661286477,132.012297169125,130.027084970026,164.059925132979,NA,NA
"2001-03-01",128.843906843428,128.394177392566,129.634290384157,131.463098381978,NA,NA
"2001-04-01",126.768678115282,134.440923193784,128.810443787639,133.769269938214,NA,NA
"2001-05-01",129.781229452736,130.162430084784,128.865130269526,133.67454907965,NA,NA
"2001-06-01",126.739429770397,127.307033255154,128.232497195999,128.823116821931,NA,NA
"2001-07-01",127.054097707718,130.858092252119,126.843919958417,128.315535508311,NA,NA
"2001-08-01",125.183989443246,124.80276070047,124.939645752269,127.902917290172,NA,NA
"2001-09-01",120.974574154599,123.223569111769,123.314426715376,124.434329197734,NA,NA
"2001-10-01",123.722596506458,124.919327025473,122.5723054758,122.467938674555,NA,NA
