"date","ch.fso.rtt.ind.r.noga0801.sa","ch.fso.rtt.ind.r.noga0803.sa","ch.fso.rtt.ind.r.noga0804.sa","ch.fso.rtt.ind.r.noga0805.sa","ch.fso.rtt.ind.r.noga0806.sa","ch.fso.rtt.ind.r.noga0807.sa","ch.fso.rtt.ind.r.noga0808.sa"
"2007-06",79.72,78.23,78.48,23.17,93.16,122.17,88.01
"2007-07",80.12,79.91,78.47,23.01,93.17,123.13,88.83
"2007-08",81.32,79.42,80.53,24.09,95.9,126.37,90.29
"2007-09",80.79,77.58,80.23,23.98,96.3,125.2,90.82
"2007-10",80.61,78.55,79.49,23.62,93.64,124.44,89.59
"2007-11",81.21,79.79,79.74,23.75,93.29,123.31,89.98
"2007-12",80.79,79.12,80.17,24.15,94.02,124.17,90.08
"2008-01",81.65,78.77,80.75,24.08,94.83,124.71,90.93
"2008-02",82.3,79.95,81.38,25.02,94.5,124.48,91.2
"2008-03",81.73,79.78,81,25.27,94.07,123.33,90.48
"2008-04",80.92,80.83,78.81,24.37,91.03,117.99,89.2
"2008-05",84.09,82.02,82.97,26.57,95.79,127.28,93.48
"2008-06",83.2,81.14,82.48,26.36,95.5,125.45,91.29
"2008-07",83.39,82.34,82.54,27.14,95.7,126.03,90.61
"2008-08",83.49,82.14,83.03,27.93,95.94,124.68,90.8
"2008-09",86.17,82.32,85.8,28,100.31,130.54,94.73
"2008-10",82.35,80.58,81.39,27.26,92.06,122.36,89.29
"2008-11",82,80.7,81.45,28,91.72,122.03,90.21
"2008-12",82.85,82.12,82.15,27.62,92,124.59,90.6
"2009-01",82.62,81.29,81.97,27.12,92.83,120.73,90.6
"2009-02",82.63,81.29,82.26,28.56,92.61,120.39,90.57
"2009-03",82.47,80.8,81.66,28.32,91.86,121.49,89.88
"2009-04",82.06,80.85,81.98,28.25,92.03,116.94,91.74
"2009-05",83.66,82.71,83.36,29.69,93.27,122.07,93.59
"2009-06",82.89,81.35,82.57,29.54,92.78,122.18,90.25
"2009-07",82.97,82.14,83.05,31.11,94.59,123.2,90.06
"2009-08",83.36,83.32,82.63,30.71,92.19,118.69,90.36
"2009-09",83.82,82.54,82.91,30.58,93.7,121.69,91.28
"2009-10",85.01,85.68,84.19,33.02,94.15,122.93,93.35
"2009-11",82.84,82.99,82.22,32.27,92.79,119.93,89.8
"2009-12",85.72,85.69,84.95,32.48,96.18,121.89,93.92
"2010-01",84.34,84.31,83.86,34.12,93.88,122.19,91.07
"2010-02",85.11,83.46,85.69,34.54,95.59,123.68,93.05
"2010-03",85.61,82.98,86.2,34.11,95.4,123.77,94.45
"2010-04",84.76,82.86,85.05,34.53,93.19,120.64,92.33
"2010-05",85.03,83.53,85.48,35.29,95.67,120.16,91.95
"2010-06",85.02,83.71,85.07,34.2,94.1,118.85,93.6
"2010-07",86.47,84.67,87.24,35.01,101.07,118.78,95.16
"2010-08",85.52,84.09,86.26,36.36,97.97,120.11,90.15
"2010-09",87.1,84.38,87.58,37.97,94.6,121.24,95.65
"2010-10",86.43,84.99,87.22,39.31,93.08,120.2,94.74
"2010-11",86.27,84.53,87.3,38.63,94.85,120.45,94.26
"2010-12",86.2,84.65,86.61,38.9,94.29,120.38,92.51
"2011-01",85.64,84.03,86.19,39.77,94.34,115.25,91.22
"2011-02",86.97,86.13,87.04,35.45,94.82,115.68,95.64
"2011-03",86.29,84.53,87.96,39.19,94.94,116.23,94.68
"2011-04",89.62,86.44,90.27,39.96,94.01,118.59,100.71
"2011-05",85.16,83.41,85.57,38.81,92.54,116.37,93.01
"2011-06",86.72,84.94,87.81,40.5,96.17,118.84,93.74
"2011-07",87.46,84.58,89.57,41.75,99.93,117.85,96.82
"2011-08",84.45,83.41,85.07,39.9,92.15,116,90.61
"2011-09",85.89,85.79,85.12,39.04,91.29,116.87,92.02
"2011-10",87.32,85.29,88.45,42.48,93.69,116.14,96.19
"2011-11",87.18,84.58,88.46,42.63,95.51,117.12,95.6
"2011-12",86.58,83.28,87.7,47.03,89.73,115.22,95.01
"2012-01",89.03,84.85,90.73,45.46,96.54,118.97,98.79
"2012-02",88.14,86.13,87.99,40.87,93.41,118.99,95.41
"2012-03",90.71,86.74,92.56,46.09,95.87,118.81,102.38
"2012-04",89.06,84.33,90.04,44.73,98,115.64,98.07
"2012-05",90.11,86.5,91.21,47.37,102.27,116.46,99.07
"2012-06",89.79,86.61,90.36,46.1,94.66,117.55,99.51
"2012-07",90.06,85.99,92.44,46.98,103.76,116.72,99.89
"2012-08",89.53,86.5,90.77,44.69,96.58,118.71,99.26
"2012-09",90.46,86.93,91.45,44.49,96.7,114.03,101.61
"2012-10",89.87,86.7,91.04,45.13,95.55,112.14,100.29
"2012-11",89.56,85.85,90.46,46.91,95.36,115.17,99.09
